Reference, Value, Footprint, Datasheet
RN1,1k,4x0603_N,
CON3,Servo,nicePinheaders:PIN-3x4_N,
CON2,Servo,nicePinheaders:PIN-3x4_N,
RN2,1k,4x0603_N,
U4,AMS1117-3.3,SOT223_N,
C7,100n,0603_N,
D1,PESD5V2S2UT,SOT23-3_N,
D3,PESD5V2S2UT,SOT23-3_N,
D2,PESD5V2S2UT,SOT23-3_N,
D4,PESD5V2S2UT,SOT23-3_N,
C9,10u/16V,0805_N,
C10,10u/16V,0805_N,
MH1,Mounting hole,mounting_hole_3.2_7.5_plated_vias,
C8,22u/6V3,Tantal_A_N,T491A226K006AT
MH2,Mounting hole,mounting_hole_3.2_7.5_plated_vias,
MH3,Mounting hole,mounting_hole_3.2_7.5_plated_vias,
MH4,Mounting hole,mounting_hole_3.2_7.5_plated_vias,
MECH1,nut,nut_M3_DIN985,
MECH2,nut,nut_M3_DIN985,
MECH3,nut,nut_M3_DIN985,
MECH4,nut,nut_M3_DIN985,
MECH5,spacer_M3x5+6,spacer_M3x5+6,
MECH6,spacer_M3x5+6,spacer_M3x5+6,
MECH7,spacer_M3x5+6,spacer_M3x5+6,
MECH8,spacer_M3x5+6,spacer_M3x5+6,
R10,1k,0603_R_N,
R11,1k,0603_R_N,
D12,LED,0805_N,
D11,LED,0805_N,
MECH9,PowerPCB,niceMechanical:dummy,
CON1,PowerPCB2,PIN-2x2_F_N,
CON5,PowerPCB3,PIN-2x3_F_N,
CON6,PowerPCB1,PIN-2x4_F_N,
CON10,Therm,PIN-2x3_N,
CON11,Therm,PIN-2x3_N,
CON4,Outputs,PIN-2x3_N,
D6,BAS40-05(DIOTEC),SOT23-3_N,
D5,BAS40-05(DIOTEC),SOT23-3_N,
RN3,100R,4x0603_N,
U2,Oled128x64_M,niceModules:Oled128x64_M_5.08N,
C1,100n,0603_N,
C2,100n,0603_N,
C3,100n,0603_N,
C5,100n,0603_N,
R1,R,0603_R_N,
U1,STM32F103RBT6,QFP-64-0.5_N,
C11,100n,0603_N,
C6,100n,0603_N,
Q1,Ceramic_3.7x3.1_8Mhz,3.7x3.1_N,
C15,100n,0603_N,
C14,100n,0603_N,
C13,100n,0603_N,
RN5,10k,4x0603_N,
C18,100n,0603_N,
C17,100n,0603_N,
C16,100n,0603_N,
RN6,10k,4x0603_N,
T3,IRLML6244TRPBF,SOT23-3_N,
T2,IRLML6244TRPBF,SOT23-3_N,
T4,IRLML6244TRPBF,SOT23-3_N,
SW1,Button,MicroswitchSmd6x4_N,
SW2,Reset,MicroswitchSmd6x4_N,
C12,100n,0603_N,
RN7,10k,4x0603_N,
RN8,10k,4x0603_N,
CON7,PIN-2x4,PIN-2x4_N,
C19,100n,0603_N,
R3,10k,0603_R_N,
R6,10k,0603_R_N,
R5,2k2,0603_R_N,
RN4,10k,4x0603_N,
R2,10k,0603_R_N,
R4,1k,0603_R_N,
R7,10k,0603_R_N,
TP2,PB14,pnConnector:TP_1mm,
TP3,PB15,pnConnector:TP_1mm,
TP4,PA0,pnConnector:TP_1mm,
TP5,PA1,pnConnector:TP_1mm,
TP8,PC0,pnConnector:TP_1mm,
TP6,PB4,pnConnector:TP_1mm,
TP7,PB5,pnConnector:TP_1mm,
TP1,PA12,pnConnector:TP_1mm,
CON9,GND,PIN-1x1_L,
CON8,GND,PIN-1x1_L,
TP9,Motor,pnConnector:TP_1mm,
TP10,Fan1,pnConnector:TP_1mm,
TP11,Fan2,pnConnector:TP_1mm,
TP16,S4,pnConnector:TP_1mm,
TP17,S5,pnConnector:TP_1mm,
TP18,S6,pnConnector:TP_1mm,
TP19,S7,pnConnector:TP_1mm,
TP12,S0,pnConnector:TP_1mm,
TP13,S1,pnConnector:TP_1mm,
TP14,S2,pnConnector:TP_1mm,
TP15,S3,pnConnector:TP_1mm,
SW3,Button,MicroswitchSmd6x4_N,
MECH10,spacer_2x5_plastic,niceMechanical:spacer_2x5_plastic,
MECH11,screw_M2x10_DIN7985,niceMechanical:screw_M2x10_DIN7985,
MECH12,nut_M2_DIN439,niceMechanical:nut_M2_DIN439,
